Partlist exported from /home/ensab/workspace/adrian/Experimental-electronics/extruder-controller/extruder-controller.sch at 07/12/2009 23:44

Part;Value;Device;Package;Description;                                                                         
C1;100uF;CPOL-USUD-10X10;UD-10X10_NICHICON;POLARIZED CAPACITOR, American symbol;                               
C2;100uF;CPOL-USUD-10X10;UD-10X10_NICHICON;POLARIZED CAPACITOR, American symbol;                               
C3;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                                                           
C4;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                                                           
C5;.22uF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                                                         
C6;100nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                                                         
C7;100nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                                                         
C8;10uF;CPOL-USUD-6,3X5,8;UD-6,3X5,8_NICHICON;POLARIZED CAPACITOR, American symbol;                            
C9;.22uF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                                                         
C10;100nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                                                        
C11;100nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                                                        
C12;16pf;C-EUC1206;C1206;CAPACITOR, European symbol;                                                           
C13;16pf;C-EUC1206;C1206;CAPACITOR, European symbol;                                                           
C14;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                                                          
C15;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                                                          
DEBUG;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                       
H1;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3,0;MOUNTING HOLE with drill center marker;                                     
H2;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3,0;MOUNTING HOLE with drill center marker;                                     
H3;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3,0;MOUNTING HOLE with drill center marker;                                     
H4;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3,0;MOUNTING HOLE with drill center marker;                                     
IC1;7805DT;7805DT;TO252;Positive VOLTAGE REGULATOR;                                                            
IC2;A3949;A3949;SO16W;;                                                                                        
IC3;A3949;A3949;SO16W;;                                                                                        
IC4;SN75176ASOIC;SN75176ASOIC;SO08;;                                                                           
IC5;ATMEGA168;ATMEGA168;TQFP32-08;;                                                                            
JP2;;PINHD-1X6;1X06;PIN HEADER;                                                                                
JP4;;PINHD-1X4;1X04;PIN HEADER;                                                                                
JP5;;PINHD-1X6;1X06;PIN HEADER;                                                                                
JP6;;PINHD-1X3;1X03;PIN HEADER;                                                                                
JP7;;PINHD-1X3;1X03;PIN HEADER;                                                                                
LED2;1;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                       
LED3;2;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                       
LED4;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                        
LED5;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                        
LED6;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                        
LED7;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                        
LED8;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                        
POWER;;LEDCHIPLED_1206;CHIPLED_1206;LED;                                                                       
Q1;NIF5002;N-HEXFET-2D_SOT232-;SOT223;HEXFET® Power MOSFET 2 Drain connects;                                   
Q2;NIF5002;N-HEXFET-2D_SOT232-;SOT223;HEXFET® Power MOSFET 2 Drain connects;                                   
Q3;NIF5002;N-HEXFET-2D_SOT232-;SOT223;HEXFET® Power MOSFET 2 Drain connects;                                   
Q4;16MHZ;CRYSTALHC49S;HC49/S;CRYSTAL;                                                                          
R1;180;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R2;4.7k;R-US_R1206;R1206;RESISTOR, American symbol;                                                            
R3;4.7k;R-US_R1206;R1206;RESISTOR, American symbol;                                                            
R4;10K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R5;10K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R6;4.7K;R-US_M1206;M1206;RESISTOR, American symbol;                                                            
R7;10K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R8;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                              
R9;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                              
R10;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R11;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R12;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R13;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R14;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R15;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R16;;TRIM_US-B25P;B25P;POTENTIOMETER;                                                                          
R20;4.7K;R-US_R1206;R1206;RESISTOR, American symbol;                                                           
R21;4.7K;R-US_R1206;R1206;RESISTOR, American symbol;                                                           
R29;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R30;1K;R-US_R1206;R1206;RESISTOR, American symbol;                                                             
R31;1K;R-US_M1206;M1206;RESISTOR, American symbol;                                                             
S1;;10-XX;B3F-10XX;OMRON SWITCH;                                                                               
SV1;;ML6;ML6;HARTING;                                                                                          
SV2;;ML10;ML10;HARTING;                                                                                        
X1;MSTBV6;MSTBV6;MSTBV6;PHOENIX;                                                                               
X2;MSTBV2;MSTBV2;MSTBV2;PHOENIX;                                                                               
X3;MSTBV2;MSTBV2;MSTBV2;PHOENIX;                                                                               
X4;MSTBV4;MSTBV4;MSTBV4;PHOENIX;                                                                               
~NUDEV~1;GND-GNDA;GND-GNDA;GND-GNDA;Example of GND--GNDA NET-Connetor for more info see description in package;
